categoria,nombre,descripcion,precio
TORTAS Y ALFAJORES,Alfajor Finca,"Masa sable, dulce de leche, merengue y dulce de frambuesa, recubierto en chocolate negro",13000
TORTAS Y ALFAJORES,Alfajor Blanco,Relleno clásico de dulce de leche,9000
TORTAS Y ALFAJORES,Alfajor Negro,Relleno clásico de dulce de leche,9000
TORTAS Y ALFAJORES,Brownie,De chocolate semi amargo y nueces,8000
TORTAS Y ALFAJORES,Budín,Consulte disponibilidad de variedades,5500
POSTRES,Flan,Acompañado de Dulce de leche y crema,10000
POSTRES,Brownie con Helado,Brownie caliente con helado de vainilla y reducción de frutos rojos,15000
POSTRES,Tiramisú,"Mascarpone, café de la casa y cacao",12000
POSTRES,Mousse de Frutos Rojos,Ligero mousse de la casa,10000
POSTRES,Affogato,Espresso caliente volcado sobre helado de vainilla,10000
POSTRES,Crumble y Helado,Crumble caliente con helado de vainilla,20000
TOSTONES Y SÁNDWICHES,Tostón Finca,"Pan de campo, dips de mermelada, dulce de leche y manteca",12000
TOSTONES Y SÁNDWICHES,Tostón Campo · Huevo y Palta,"Huevo revuelto, palta, tomates Cherry",18000
TOSTONES Y SÁNDWICHES,Tostón Crudo y Rúcula,"Pan de campo de masa madre, Jamón crudo, rúcula, gouda, tomate cherry confitado y queso philadelphia",18000
TOSTONES Y SÁNDWICHES,Tostón Crudo, Rúcula y Pera,"Pan de campo de masa madre, Jamón crudo, rúcula, pera caramelizada, gouda, cherry confitado, philadelphia",18000
TOSTONES Y SÁNDWICHES,Cazuela Huevo, Palta y Cherry,Con tostón de pan de campo de masa madre por separado,18000
TOSTONES Y SÁNDWICHES,Sándwich en Pan de Chipa,"Rúcula, jamón crudo o cocido a elección y tomates confitados",16000
TOSTONES Y SÁNDWICHES,Sándwich Tostado Jamón Cocido y Queso,"Pan ciabatta, mucho jamón, mucho queso",18000
TOSTONES Y SÁNDWICHES,Sándwich Tostado Jamón Crudo y Queso,"Pan ciabatta, mucho jamón crudo, mucho queso",20000
SÁNDWICHES ESPECIALES,Sándwich de Lomo clásico,"Pan ciabatta orgánico de masa madre, bife de lomo, huevos fritos, queso gouda. Acompañado de papas crocantes al horno. Dips de lactonesa de limón y salsa pomodoro, opcional salsa picante",28000
SÁNDWICHES ESPECIALES,Sándwich de Lomo y queso azul,"Pan ciabatta orgánico de masa madre, bife de lomo, queso gouda, pesto de albahaca, cebolla morada encurtida. Acompañado de papas crocantes al horno. Dips de lactonesa de limón y salsa pomodoro, opcional salsa picante",30000
SÁNDWICHES ESPECIALES,Sándwich de Milanesa de ojo de Bife,"Pan ciabatta orgánico de masa madre con pesto de albahaca, milanesa frita de ojo de bife empanada en panko, cama de rúcula y espinaca, crema de mostaza y jarabe de arce, cebolla caramelizada, queso gouda. Acompañado de papas crocantes al horno. Dips de lactonesa de limón y salsa pomodoro, opcional salsa picante",28000
SÁNDWICHES ESPECIALES,Sándwich de Milanesa de Girgola,"Pan ciabatta con pesto de albahaca, milanesa frita de gírgola empanada en panko, rúcula, albahaca, tomates confitados, queso gouda. Acompañado de papas fritas en cubos. Opción vegetariana. Dips de lacto de limón y salsa pomodoro, opcional salsa picante",27000
SÁNDWICHES ESPECIALES,Sándwich de Milanesa de berenjena,"Pan ciabatta orgánico de masa madre, milanesa rebosada en panko, pesto de albahaca, queso gouda, cama de rúcula y albahaca, tomates confitados, lactonesa de limón. Acompañado de papas crocantes al horno. Dips de lactonesa de limón y salsa pomodoro, opcional salsa picante",25000
